productId,buyerId,buyerName,buyerEval,buyerFeedback,buyerCountry,buyerGender,buyerHeadPortrait,evalDate,anonymous,images,logistics,thumbnail,skuInfo
32859893411,715967218,A**a L.,100,"доставка быстрая. качество отличное. но заказала размер 18 м ,а пришел 12 (((",RU,,,18 Sep 2018,False,"['https://ae01.alicdn.com/kf/UTB8jedkDqrFXKJk43Ovq6ybnpXab.jpg', 'https://ae01.alicdn.com/kf/UTB8GpeXjdnJXKJkSaiyq6AhwXXaV.jpg', 'https://ae01.alicdn.com/kf/UTB8GxqijevJXKJkSajhq6A7aFXaK.jpg', 'https://ae01.alicdn.com/kf/UTB8LVeXjdnJXKJkSaiyq6AhwXXal.jpg', 'https://ae01.alicdn.com/kf/UTB8C5ybjnzIXKJkSafVq6yWgXXaH.jpg']",China Post Registered Air Mail,"['https://ae01.alicdn.com/kf/UTB8jedkDqrFXKJk43Ovq6ybnpXab.jpg_220x220.jpg', 'https://ae01.alicdn.com/kf/UTB8GpeXjdnJXKJkSaiyq6AhwXXaV.jpg_220x220.jpg', 'https://ae01.alicdn.com/kf/UTB8GxqijevJXKJkSajhq6A7aFXaK.jpg_220x220.jpg', 'https://ae01.alicdn.com/kf/UTB8LVeXjdnJXKJkSaiyq6AhwXXal.jpg_220x220.jpg', 'https://ae01.alicdn.com/kf/UTB8C5ybjnzIXKJkSafVq6yWgXXaH.jpg_220x220.jpg']",Color:02 Kid US Size:18M 
32859893411,191544613,E***a T.,100,"Доставка месяц. Трек отслеживался в РФ.  Упаковка презентабельная. Качество пошива и ткани полный восторг. Все идеально, фабричный пошив, ткань очень мягкая и приятная к телу. На рост 78см 1г4м верх нормально, а штаны велики, так что идет размер в размер. Брала по акции за 365р, и с покупки вернула кешбэк 16 р обратно на карту через сайт https://letyshops/soc/sh-1?r=1043947 (после назв сайта .com).Быстрая фиксация кэшбека,отличная служба поддержки клиентов, и я более 12 500 р вывела обратно на карту виза.начинайте экономить и ВЫ. Спасибо продавцу, всем советую!!",RU,F,https://ae01.alicdn.com/kf/UT8PZgcXOxXXXagOFbXU.jpg_220x220.jpg,31 Aug 2018,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,748126681,N******y V.,100,"Комплектик смотрится очень миленько, качество на высоте, трикотаж приятный. Брала на вырост, но думаю размер соответствует.",RU,F,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,08 Sep 2018,False,,Russian Air,,Color:01 Kid US Size:24M 
32859893411,808332459,V**y Z.,100,костюмчик чудесный. ткань хб мягкая и рисунок точно как на картинке. соответствует размеру.пришло очень быстро. отличный продавец.,RU,,,19 Dec 2018,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,143535610,E***a F.,100,Качество на высоте. Смело заказывайте!,RU,F,https://ae01.alicdn.com/kf/UTB8MTJLhevJXKJkSajhq6A7aFXaG.jpg_220x220.jpg,08 Jan 2019,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,168130157,O**a O.,100,отличный костюм!,RU,F,https://ae01.alicdn.com/kf/UT8I9_AX4pbXXagOFbXJ.jpg_220x220.jpg,04 Jan 2019,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,850425470,Na N.,100,Ок спасибо,RU,M,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,23 Nov 2018,False,,Russian Air,,Color:02 Kid US Size:24M 
32859893411,1615547363,Ru S.,100,"Вещи качественные, как всегда.",RU,,,26 Nov 2018,False,,Russian Air,,Color:02 Kid US Size:9M 
32859893411,905557178,A****y S.,100,,RU,,,26 Sep 2018,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,718999550,O**g P.,100,,RU,,,13 Sep 2018,False,,Russian Air,,Color:01 Kid US Size:18M 
32859893411,187924790,T*****a S.,80,,RU,F,https://gw.alicdn.com/tps/TB1zA01LXXXXXc0XFXXXXXXXXXX-240-240.png,17 Oct 2018,False,,Russian Air,,Color:02 Kid US Size:12M 
32859893411,850425470,Na N.,100,ок спасибо,RU,M,https://gw.alicdn.com/tps/TB1CjX4LXXXXXbSXFXXXXXXXXXX-240-240.png,19 Oct 2018,False,,Russian Air,,Color:01 Kid US Size:24M 
